left_entity_id,right_business_id,confidence
77112,50120,1.0
9635,41124,1.0
39966,43785,1.0
58543,47633,1.0
1684,44414,1.0
26837,39657,1.0
19759,45072,1.0
78858,50826,1.0
62345,42069,1.0
51532,38914,1.0
72646,44478,1.0
59350,39192,1.0
86018,50767,1.0
72186,50041,1.0
59931,38212,1.0
20195,49701,1.0
38470,36830,1.0
80854,39654,1.0
58188,41512,1.0
74147,46072,1.0
42795,44632,1.0
91846,48671,1.0
22681,41117,1.0
17241,48686,1.0
76725,37627,1.0
79962,37655,1.0
8129,49402,1.0
88574,42025,1.0
44263,48640,1.0
44507,47400,1.0
9962,37994,1.0
64409,45893,1.0
54927,49108,1.0
30162,47265,1.0
32333,48538,1.0
32118,49610,1.0
38537,41977,1.0
43112,41346,1.0
33315,40201,1.0
9722,42143,1.0
27417,43477,1.0
89521,50951,1.0
55890,41352,1.0
75432,50848,1.0
20203,41618,1.0
16598,44424,1.0
88166,38047,1.0
56263,40186,1.0
70900,50476,1.0
80463,49854,1.0
12451,38904,1.0
75167,43914,1.0
17177,39194,1.0
54456,50547,1.0
38076,47341,1.0
89051,37027,1.0
66972,44683,1.0
59097,50235,1.0
54766,36716,1.0
40905,44816,1.0
68676,45847,1.0
82635,50540,1.0
19791,47479,1.0
6837,48397,1.0
48128,47916,1.0
4225,40882,1.0
21072,36977,1.0
30077,42562,1.0
91120,49318,1.0
66783,45807,1.0
76760,43658,1.0
3379,48876,1.0
32003,43736,1.0
58152,41413,1.0
50644,43245,1.0
78008,47468,1.0
40151,49101,1.0
12680,43260,1.0
22249,47795,1.0
26164,39585,1.0
31098,37783,1.0
87660,40809,1.0
43080,38688,1.0
44300,37805,1.0
57576,46825,1.0
62778,38194,1.0
84293,48529,1.0
38326,45482,1.0
14834,47434,1.0
22273,51269,1.0
91432,39238,1.0
51574,40630,1.0
74826,38407,1.0
68324,37945,1.0
27023,37139,1.0
82575,49800,1.0
83006,49615,1.0
48580,37457,1.0
37918,41668,1.0
55570,41728,1.0
68775,37714,1.0
86329,50181,1.0
40084,49781,1.0
23418,39748,1.0
62206,44708,1.0
82980,45583,1.0
93973,50414,1.0
53195,39102,1.0
37491,47173,1.0
62207,43672,1.0
8471,44617,1.0
62950,50971,1.0
46231,39477,1.0
37098,39353,1.0
43999,38360,1.0
2426,47647,1.0
28741,47738,1.0
53836,39456,1.0
3873,39824,1.0
38526,40638,1.0
36536,49718,1.0
89007,37111,1.0
139,51282,1.0
378,37130,1.0
70112,38869,1.0
35386,51243,1.0
56195,45278,1.0
41238,50740,1.0
31259,38865,1.0
